nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country,malt,hops,chocolate,german,banana,vanilla,caramel,yeast,fruit,whiskey,rhum,alcohol,gluten,barrel,rye,barley,cocoa,small/lower,big/upper,Altbier,Barleywine,Blonde,Duppel,Quadrupel,Tripel,Cider,Fruit,IPA,Kölsch,Lager,Non-Alcoholic,Pilsner,Porter,Wheat,Sour,Stout,Ale,Other
20,3565359,Crow Brewery,Peacock #4,IPA - New England / Hazy,https://untappd.com/b/crow-brewery-peacock-4/3565359,6.6,40,3.88,162,12/06/19,"Grejp, mango, breskva - ova paleta ukusa, našeg IV nastavka Paun serijala, nikad nije bila izraženija - novim hmeljevima Simcoe cryo i Citra cryo, citrusni ukusi su podignuti na najviši nivo. ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,2190355,Docker Brewery,Crasher,IPA - New England / Hazy,https://untappd.com/b/docker-brewery-crasher/2190355,5.5,69,3.88,1850,07/13/17,"Dupli Dry Hop(DDH) uz 4 vrste američkih hmeljeva i dodatak pšenice,spelta,ovsa i ječma u kombinaciji sa tečnim verdant kvascem donose aromatičnu mutnu i nefiltriranu NEIPU pravo na vaša nepca. ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,3739485,Kabinet Brewery,Shake Those Melons,IPA - Milkshake,https://untappd.com/b/kabinet-brewery-shake-those-melons/3739485,7.6,N/A,3.88,166,04/03/20,"DDH Milkshake IPA with melon, a tropical bomb in your mouth. ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,5334919,Dogma Brewery,High Grade,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-high-grade/5334919,7.0,35,3.88,763,04/28/23,"Friendship = Craft Brewing. Yes it is! This beer is a product of first ever brewing at the same time. Night in Belgrade &  morning in Sydney. Same recipe brewed in the same moment. Slovenian, New Zealand & Australian hops. I will just say that this beer is AMAZING! :D ",serbia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,5911471,Dogma Brewery,8th AB - Lost In A Hop Field,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/dogma-brewery-8th-ab-lost-in-a-hop-field/5911471,8.0,30,3.87,404,07/18/24,One of two brewery collabs for our 8th Anniversary. We've lost in a hop field with our brew brothers from Crow Brewery.  ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,4467754,Dogma Brewery,HOP SHOWER,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-hop-shower/4467754,8.0,30,3.87,719,08/20/21,"Everybody likes good shower. Brewers like it like a hop shower! Super potent NEIPA with El Dorado, Simcoe, Citra & Columbus gives you orange punch on every sip. ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,5803031,Dogma Brewery,1019,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-1019/5803031,6.5,30,3.87,733,04/26/24,1019 is a hop we fell in love with last year at CBC. It's just unique and cause of that we've bring it first to Serbian craft beer fans!  ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,4797011,Dogma Brewery,Vinje Draku Pista Garda,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-vinje-draku-pista-garda/4797011,6.8,40,3.87,730,04/14/22,"Draku is a word for devil in Romanian. This sentence is unique one and Romanians dont have it as its specific for Vlachian minority in Eastern Serbia. It means ""Devil comes over the fence"". This beer is not so evil - its just a Kveik NEIPA brewed with our Romanian brothers from Bereta. Kveik Voss meets Citra, Bru-1 & a bit of Sabro! ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,2215044,Docker Brewery,Ludilo,IPA - Milkshake,https://untappd.com/b/kors-ludilo/2215044,6.0,35,3.87,292,07/28/17,Milkshake IPA.Collaboration with Bottle Share (RU). ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,5739583,Dogma Brewery,SARCASM,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/dogma-brewery-sarcasm/5739583,7.5,40,3.87,291,03/07/24,"Brewers are pretty sarcastic when they're saying that they like to brew NEIPA! Becayse they're ""enjoying"" in all operations from malt milling thru lautering to heavy double dry hopping :D Because of this we called this juicy collaboration brew SARCASM! Enjoy while you drinking. Not like brewers! :D ",serbia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,926032,Kabinet Brewery,Vista Mikkeller IPA#2,IPA - American,https://untappd.com/b/kabinet-brewery-vista-mikkeller-ipa-2/926032,7.5,54,3.87,1372,12/28/14,"Vista series dramatically continues, as the label story unfolds so does the new IPA style! Number two represents a powerful blend of fruit flavors,  beside its higher alcohol content. From today, let’s spice up the days, with this spectacular beer that will raise the pulse and atmosphere. ",serbia,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,5626482,Dogma Brewery,Coast To Coast,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-coast-to-coast/5626482,6.1,30,3.87,276,12/01/23,Collab with our friends from Nice. We are bringing you this Citra & Nelson Sauvin NEIPA from coast of Belgrade river Sava to coast Blue coast of France!  ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,3803883,Dogma Brewery,All Together,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-all-together/3803883,6.5,30,3.87,566,05/29/20,"We're super proud to be part of All Together beer which came from our colleagues from Other Half! This NE IPA brings you smoothness & hop power of Mosaic, Citra, Comet and Enigma. We're in this ALL TOGETHER! #AllTogetherBeer ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,4111230,3bir,Alpha Dog,IPA - Triple,https://untappd.com/b/3bir-alpha-dog/4111230,9.6,65,3.87,1070,12/22/20,"Alpha Dog -  A razor-sharp leader of the pack of wild dogs: Centennial, Citra, Galaxy, Mosaic, Sabro, Chinook, Columbus.Made out of six hops and a double dry hop for the impeccable strength, that only the brave can relate to. This Triple IPA is an adventure in a glass, that slides down like heavenly nectar and bangs like the hammer of God. No leash can hold it, and its tail wags for no one.  ",serbia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,2453362,Zebrew,Pudding IPA,IPA - New England / Hazy,https://untappd.com/b/zebrew-pudding-ipa/2453362,6.0,45,3.86,370,12/30/17,New England IPA sa dodatkom pudinga od vanile i mlečnog šećera.  ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
