beer_text,brewery,beer
"beer kind: Lager - IPL (India Pale Lager) |description: Imperial IPLHops: Mosaic, Simcoe, Callista, Saphir, Herkules |ABV: 7.03 |IBU: N/A |rating: 3.71",Brauerei Gebr. Maisel,Maisel & Friends - Bockville
"beer kind: Lager - IPL (India Pale Lager) |description: Brewdog X Kehrwieder Collab SudZwei Brauereien, ein Name - ein Versehen. Dem PROTOTYP sei Dank, dass Du diese Dose in den HĂ¤nden hĂ¤ltst. Das PROTOTRĂśB - ein tropisch fruchtiges Session Lager mit Noten von Limette und Melone und einem Hauch von Citrus und Maracuja. Schlanker, deutlich trĂĽber und mit weniger Alkohol als das Original PROTOTYP von Kehrwieder, dafĂĽr aber mit einer ordentlichen Hopfenladung, die jeden Hophead begeistern wird. Gemeinschaftlich gebraut von BREWDOG und der KEHRWIEDER KREATIVBRAUEREI |ABV: 4.08 |IBU: 25 |rating: 3.07",Kehrwieder Kreativbrauerei,PrototrĂĽb
beer kind: Lager - IPL (India Pale Lager) |description: Nelson Sauvin Single Hop Pale Lager |ABV: 6.05 |IBU: N/A |rating: 3.07,Wittorfer Brauerei NeumĂĽnster,Hackengas 5
beer kind: Lager - IPL (India Pale Lager) |description: Amarillo |ABV: 7.05 |IBU: 45 |rating: 3.07,Brauhaus Nittenau,Mein Uncle Sam
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 5.02 |IBU: N/A |rating: 3.07,Kraftpaule,Hoppy Lager
"beer kind: Lager - IPL (India Pale Lager) |description: Leicht, frisch und von feiner Zitrusnote geprĂ¤gt. Als SMaSH mit nur einer Malzsorte und Citra-Hopfen gebraut, zeigt es eine klare, unverfĂ¤lschte Aromen von Limette, Grapefruit und exotischen FrĂĽchten - ein moderner Twist auf das klassische Helle. |ABV: 4.07 |IBU: N/A |rating: 3.07",Finne Brauerei,Citra Smash Helles
beer kind: Lager - IPL (India Pale Lager) |description: Sabro Single Hop Lager |ABV: 6.05 |IBU: 30 |rating: 3.69,Wittorfer Brauerei NeumĂĽnster,Hackengas
"beer kind: Lager - IPL (India Pale Lager) |description: In den kĂĽhlen Morgenstunden pirscht der HopfenlĂ¶we durch die HopfengĂ¤rten und legt sich auf die Lauer. Und die Beute hĂ¤tte besser nicht sein kĂ¶nnen! Im Jahr 2022 hat der HopfenlĂ¶we den Aromahopfen â€žEl Doradoâ€ś erlegt, der dem Bier einen tropischen Geschmack verleiht. Durch eine ausgewogene Kalthopfung beschert der Hopfen dem Bier angenehme Noten von fruchtigem Steinobst wie Aprikose und Pfirsich. Die leichte, helle BierspezialitĂ¤t geht dabei in Deckung und ĂĽberlĂ¤sst dem Hopfenspektakel das ganze Revier! |ABV: 4.09 |IBU: 25 |rating: 3.69",SinghBrĂ¤u,HopfenlĂ¶we El Dorado (2022)
beer kind: Lager - IPL (India Pale Lager) |description: Hopped with Galaxy from Australia  |ABV: 5.03 |IBU: 45 |rating: 3.69,GĂ¤nstaller Braumanufaktur,RAAD Pale Lager
"beer kind: Lager - IPL (India Pale Lager) |description: Dieses Erfrischende Lagerbier lĂ¤sst sich mit seinem geringen Alkoholgehalt geschmeidig in groĂźen MaĂźkrĂĽgen genieĂźen. Die ausgewogenen fruchtigen Aromen nach Stachelbeere, Grapefruit und Weintraube fĂĽhren zu einer feinen erfrischenden Note in dem schlanken subtilen Lagerbier. Hier vereinen sich Nationen und kommen zum selben Punkt: Schmeckt sĂĽffig!Dieses Bier wurde in limitierter Menge gebraut und ist nur erhĂ¤ltlich solange der Vorrat reicht!Biertyp: New Zealand LagerMalz: Pilsener, Wiener, CaramalzAlkohol Vol.: 4,5%Hefe: LagerhefeStammwĂĽrze/Plato: 11,2Hopfen: Nelson Sauvin, Hallertauer BlancBittereinheiten/IBU: 25Zutaten: Wasser, Gerstenmalz, Hopfen, Hefe |ABV: 4.05 |IBU: 25 |rating: 3.69",Camba Bavaria,Beer Garden (Cielito Lindo)
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 6.0 |IBU: 35 |rating: 3.68,StraĂźenbrĂ¤u,BrĂ¤ufriend
beer kind: Lager - IPL (India Pale Lager) |description: Dry Hopped Bitter Lager with Amarillo and HĂĽll Melon. |ABV: 5.09 |IBU: 40 |rating: 3.68,BrĂ¤ugier Craftbier,Rattlesnake Roadtrip
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 4.08 |IBU: 18 |rating: 3.68,PĂBELBRĂ†U,India Pale Lager
"beer kind: Lager - IPL (India Pale Lager) |description: Die Lucky Experience Mauritius Edition.Seit zwei Jahren braut Lukas Dinkelaker nun schon auf Mauritius. Dort entstanden sowohl die Idee als auch die Rezeptur fĂĽr unsere Lucky Sonderedition.Das untergĂ¤rige Sommerbier ist ein Ă¤uĂźerst erfrischendes,unfiltriertes â€žHellesâ€ś, das durch die leichte Kalthopfung seine angenehm fruchtige Note erhĂ¤lt.Malz: Pilsner MalzHopfen: Hallertauer Magnum, Citra, Galaxy (zur Kalthopfung) |ABV: 4.08 |IBU: N/A |rating: 3.67",SchĂ¶nbuch Braumanufaktur,Lucky Experience - Mauritius Edition
"beer kind: Lager - IPL (India Pale Lager) |description: Unser Prototyp im Weihnachtsgewand hat sieben Wochen auf Aromahopfen gelagert und wird dir das perfekteWeihnachts-WOW bescheren! JederSchluck ist wie ein freudigesTĂ¤nzeln der Elfen auf deiner Zunge: fruchtig, leicht und einfach magisch!Also schnapp dir diese festlicheFlasche und lass die Hoppy Holidays beginnen! |ABV: 5.09 |IBU: 35 |rating: 3.67",Kehrwieder Kreativbrauerei,Hoppy Holidays
beer kind: Lager - IPL (India Pale Lager) |description: BLACK INDIA PALE LAGER DRY-HOPPED WITH SIMCOE AND CHINOOK CRYO HOPS |ABV: 6.05 |IBU: 60 |rating: 3.67,Buddelship Brauerei,Black IPL Simcoe Chinook
beer kind: Lager - IPL (India Pale Lager) |description: Collabfest 2019 DDHIPL (Double Dry Hopped India Pale Lager) brewed in collaboration with BrewDog St. Pauli and Kehrwieder. |ABV: 4.09 |IBU: N/A |rating: 3.67,Kehrwieder Kreativbrauerei,SAMOA
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 6.05 |IBU: N/A |rating: 3.66,Protokoll Brewery,Journal of Ardency
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 4.09 |IBU: 25 |rating: 3.66,BRAUQUADRAT,Rave
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 5.0 |IBU: N/A |rating: 3.66,Blech.Brut,Closed After Dark
"beer kind: Lager - IPL (India Pale Lager) |description: Hops: Magnum, Comet, Bavaria Mandarina, Ariana, Callista  |ABV: 5.0 |IBU: N/A |rating: 3.66",Blech.Brut,Lockvogel
"beer kind: Lager - IPL (India Pale Lager) |description: Die Verwendung des Begriffes â€žImperialâ€ś geht beim Bier auf das 19. Jahrhundert zurĂĽck, als englische Brauer ein starkes, kĂ¶rperreiches und aufwĂ¤ndig gehopftes Bier fĂĽr den russischen Zarenhof brauten. In dieser Tradition entstand in unserem Hause nun ein â€žImperial Lagerâ€ś als einmalige Sonderedition. Die im aufwĂ¤ndigen Kalthopfungsverfahren verwendeten exklusiven Aromahopfen aus Neuseeland, den USA (Yakima Valley) und Bayern (Hallertau) sorgen fĂĽr ein fruchtiges, nicht ganz alltĂ¤gliches Aroma. |ABV: 6.0 |IBU: N/A |rating: 3.66",Veldensteiner Kaiser BrĂ¤u,Veldensteiner Bierwerkstatt Imperial Lager
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 5.03 |IBU: 25 |rating: 3.66,Brauerei Gebr. Maisel,Hoppy Haifisch
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 5.0 |IBU: 40 |rating: 3.66,Holsten-Brauerei AG,Astra Kiezbeben
"beer kind: Lager - IPL (India Pale Lager) |description: Braumeister-Edition November 2024BetthopferlIPL (India Pale Lager)Braumeister: Jens LangwieserKomplexe Geschmackspalette aus Aromen tropischerFrĂĽchte, begleitet von einer subtilen SĂĽĂźe, die den GenieĂźer in einen sĂĽĂźen Traum entfĂĽhrt. Das Betthopferl ist das perfekte Geschmackserlebnis, um den Tag auf genussvolle Weise ausklingen zu lassen. Biertyp: Wet Hop PilsMalz: Pilsner, Pale Ale Malz Alkohol Vol.: 4,8% Hefe: Bayerische LagerhefeStammwĂĽrze/Plato: 11,5 Hopfen: Tradition, Saphir, Tettnanger, Amarillo Bittereinheiten/IBU: 15Zutaten: Wasser, Gerstenmalz, Hopfen, Hefe |ABV: 4.08 |IBU: 15 |rating: 3.66",Camba Bavaria,Braumeister-Edition #80 (Jens Langwieser) - Betthopferl
"beer kind: Lager - IPL (India Pale Lager) |description: Yes, trust your eyes, you see right. After more than 2 years of Schwarze Rose, we finally release our first bottom fermented beer. But it probably wouldn't be us if we didn't throw in a little twist. Contrary to the norm of German lagers, we brewed Echoes with a dash of oat malt to add some smoothness to this crisp brew. Dry hopped with Hallertau grown Amarillo only, you can look forward to a crushable Lager with notes of orange, hay, honey and fresh cut grass. |ABV: 5.04 |IBU: N/A |rating: 3.65",Schwarze Rose,Echoes
"beer kind: Lager - IPL (India Pale Lager) |description: Support small, local & independent business!Hereâ€™s a little something special we made to remind everyone how good it is to have friends with benefits. When you buy this beer, lots of people benefit: the small business you bought it from, our favourite hop farmers and maltsters, as well as a tiny brewery in Reinickendorf. So donâ€™t be shy.When you support small businesses everybody benefits. And when this is all over, everyoneâ€™s gettinâ€™ laid!Malt from Thomas Fawcett, Bamberger MĂ¤lzerei. Hops from Crosby Hop Farm, Bosnar Hops, Locher-Hopfen. |ABV: 5.0 |IBU: N/A |rating: 3.65",Motel Beer,Friends With Benefits
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 6.08 |IBU: N/A |rating: 3.65,Drinkforpeace,Bosnia-Herzegovina
beer kind: Lager - IPL (India Pale Lager) |description: Single hopped Imperial Lager mit Vic Secret Hopfenâ€¦gebraut bei Ale Mania in Kooperation mit Brauhotel Bonnâ€¦ |ABV: 6.09 |IBU: 60 |rating: 3.65,BalthasarÂ´s,Vic Secret Lager
beer kind: Lager - IPL (India Pale Lager) |description: kaltgehopft mit Callista und Hallertau Blanc |ABV: 5.05 |IBU: N/A |rating: 3.65,Hellers Brauhaus,Hellers Hopfengarten
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 6.0 |IBU: N/A |rating: 3.65,Buddelship Brauerei,IPL Eukanot Pop
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 6.0 |IBU: N/A |rating: 3.65,Buddelship Brauerei,IPL Cashmere Ariana
beer kind: Lager - IPL (India Pale Lager) |description:  |ABV: 7.05 |IBU: 55 |rating: 3.65,Yankee & Kraut,Hopulenz
"beer kind: Lager - IPL (India Pale Lager) |description: Sorte: India Pale LagerStammwĂĽrze: 13,8%neAlkohol: 5,8%IntensitĂ¤t: ****Man erzĂ¤hlt, das Vieh der Friesen war wie sie selbst, ruhig, eher schĂĽchtern und zurĂĽckhaltend, was fĂĽr die Fortpflanzung nicht sehr fĂ¶rderlich war. Doch der Friese war findig und kochte das Wasser fĂĽr die Bullen vorher mit einer rĂ¤tselhaften Auswahl an KrĂ¤utern ein und stillte deren Durst mit diesem ""Bullenwasser"" (holeweeder). Die Friesenbullen strotzten schlieĂźlich vor Kraft und Fruchtbarkeit und auch die FriesenkĂĽhe waren glĂĽcklicher denn je. Hin und wieder genehmigte sich der Friese ebenfalls einen Schluck von diesem Wasser.Zutaten:Wasser, Gerstenmalz, Hopfen (Simcoe, Cascade, Polaris), HefePreviously:Sorte: India Pale AleStammwĂĽrze: 13,5%Alkohol: 5,8%IntensitĂ¤t: **** |ABV: 5.08 |IBU: N/A |rating: 3.65",Biar BrauhĂĽs,Holeweeder
"beer kind: Lager - Japanese Rice |description: Neo asian style lager.strong lager brewed with rice flakes and Chinese ""five flavor berries"" wich were infused with sake. collab with restaurant ""Chung"".  |ABV: 6.02 |IBU: N/A |rating: 3.64",orca brau,FUIYOH
"beer kind: Lager - Japanese Rice |description: rice lager brewed and refermented with peach, dried shiso herbs and oolong tea. collaboration with the asian fusion fine dining restaurant ""chung"" out of fuerth. |ABV: 4.07 |IBU: N/A |rating: 3.58",orca brau,trá»ťi Ćˇi
"beer kind: Lager - Japanese Rice |description: Brewed in collaboration with Eulreul from SeoulBrewed with Purple Rice, Red Beet Extract and conditioned on Oak Chips |ABV: 5.03 |IBU: N/A |rating: 3.56",Barbarossa I Am,Collab Series: Purple Rice Lager Batch No. 1
"beer kind: Lager - Japanese Rice |description: Once upon a time, a Chinese master was born in Bavaria. He loves rice, and his favorite drink is beer. After putting both together, Shifu rice(s) up. |ABV: 5.0 |IBU: 25 |rating: 3.51",BRLO,Shifu Reisbier
beer kind: Lager - Japanese Rice |description:  |ABV: 4.09 |IBU: N/A |rating: 2.92,German Beverage Group Ltd,Eboshi Original
"beer kind: Lager - Mexican |description: Gewinnersud des Kreativwettbewerbs der Deutschen Meisterschaft der Hobbybrauer 2023Dieses leichte Bier begeistert mit einem spritzigen Antrunk sowie intensiven Aromen nach ZitrusfrĂĽchten, die den Sommer ins Glas bringen. Abgerundet mit Meersalz und einer feinen Hopfenbittere macht dieses besondere Bier Lust auf mehr. Gebraut nach einem Rezept von Timo Hogeback aus Cloppenburg. |ABV: 4.07 |IBU: N/A |rating: 3.67",BRLO,Salt N Lime Mexican Style
"beer kind: Lager - Mexican |description: Geschmack: frisch, wĂĽrzig, fruchtigFarbe: hellEBC: 8 |ABV: 5.09 |IBU: 25 |rating: 3.66",RĂĽgener Insel-Brauerei,Mexican Lager
beer kind: Lager - Mexican |description:  |ABV: 4.06 |IBU: N/A |rating: 3.61,True Brew Brewing Co.,Mexican Lager
beer kind: Lager - Mexican |description: Leichtes Lager mit sĂ¤uerlich-erfrischendem Limetten-Abgang |ABV: 4.0 |IBU: N/A |rating: 3.61,StraĂźenbrĂ¤u,Lime - Aficionado
"beer kind: Lager - Mexican |description: Ein Mexican Lager. Sie nannten es Machete. Action. Spannung. Geflockter Mais. Limettenschalen. Himalaya Salz.Bachâ€™s schreibt keine SMS, Bachâ€™s improvisiert. |ABV: 4.08 |IBU: N/A |rating: 3.58",Bachâ€™s Brauerei,Bach's Machete
"beer kind: Lager - Mexican |description: Das Finne x South Of Shaw Mexican Cerveza ist ein sommerlich-frisches Bier mit einem Alkoholgehalt von 4.7 % vol. und 16 IBU. Es wird mit MittelfrĂĽh-Hopfen und Bio Malzflocken gebraut und feiert das 40-jĂ¤hrige JubilĂ¤um der StĂ¤dtepartnerschaft zwischen Fresno in Kalifornien (der Heimat der South Of Shaw Brewery) und MĂĽnster.Dieses erfrischende Mexican Cerveza prĂ¤sentiert sich in blass, strohgelber Farbe mit einer weiĂźen Schaumkrone und besteht aus Zutaten aus kontrolliert biologischem Anbau. |ABV: 4.07 |IBU: 16 |rating: 3.57",Finne Brauerei,Mexican Cerveza
"beer kind: Lager - Mexican |description: Ein Oberbayer, ein Hamburger, zwei gemeinsame Leidenschaften: Mexiko und Bier. Aus ihrer Zusammenarbeit ist ein frisches, knackiges, mexikanisches Lager mit Limette, Salz und einem Hauch Chili entstanden. Leicht und frisch! ÂˇSalud! |ABV: 4.0 |IBU: 25 |rating: 3.53",ĂśberQuell,Boca Chica - Mexican Lager
"beer kind: Lager - Mexican |description: Wir haben unser Lieblings-Lagerbier mit den Aromen sonnengereifter Limetten kombiniert. Leicht, fruchtig und super erfrischend prĂ¤sentiert sich diese sommerliche Mischung. Aber egal ob es gerade 30 Grad sind oder der norddeutsche Sommer mit Schmuddelwetter glĂ¤nzt - eins ist gewiss,  â€ž Una Claraâ€ś ist Sonnenschein im Glas. Salud! |ABV: 5.0 |IBU: N/A |rating: 3.49",Wittorfer Brauerei NeumĂĽnster,Una Clara
"beer kind: Lager - Mexican |description: Geschmack:  sĂ¤uerlich, frisch, sĂĽĂźlich, zitrusartigFarbe: strohgelbEBC:8 |ABV: 5.09 |IBU: 25 |rating: 3.46",RĂĽgener Insel-Brauerei,Spanish Lemon Lager
"beer kind: Lager - Mexican |description: brewed with corn flakes, salt, lime and chilli. collab with kraftpaule stuttgart. fresh batch bottled 06/24 |ABV: 4.09 |IBU: N/A |rating: 3.43",orca brau,Guadalupe
"beer kind: Lager - Mexican |description: Mexican Style LagerSummer is almost here, really. I saw the sun myself the other day when it peeked out from behind the seemingly eternal gray. In preparation for the inevitable arrival of the sunshine, we decided to brew the perfect beer companion. This Mexican-style lager is light, crisp and super refreshing. Itâ€™s bursting with the flavor of fresh lemons and pairs perfectly with a slice of fresh lime to double your refreshment. Experience the taste of summer NOW! |ABV: 4.02 |IBU: N/A |rating: 3.42",FUERST WIACEK Berlin,Chela
"beer kind: Lager - Mexican |description: A tribute to MexicoÂ´s female masked heroes, uno cada dĂ­a cerveza packed with lots of lime & mucho sol. |ABV: 4.06 |IBU: 15 |rating: 3.42",BRLO,Luchadora
beer kind: Lager - Mexican |description:  |ABV: 5.09 |IBU: N/A |rating: 3.37,Lidl Deutschland / Germany,Camaro Caliente Cerveza
"beer kind: Lager - Mexican |description: With the hope of sunnier, warmer days, we introduce our Mexican lager 'Fuera de la Ley' (4% ABV) - out of the German purity law. An easy-drinking beer, balanced with malts and maize, extremely clear and citrusy. Low hop flavour and bitterness. Our Berliner version of a Mexican lager brewed by an Argentinian. |ABV: 4.0 |IBU: 10 |rating: 3.36",Gorilla CervecerĂ­a Berlin,Fuera de la Ley
"beer kind: Lager - Mexican |description: Ein auĂźergewĂ¶hnliches Lager, gelb wie die mexikanische Sonne, spritzig, fruchtig und mit einem Kick Salz und Limette. Perfekt fĂĽr die nĂ¤chste Siesta. |ABV: 4.04 |IBU: 25 |rating: 3.33",Freie Brau Union Bremen,Mexican Lager
beer kind: Lager - Mexican |description: Brewed for Bob's Restaurants |ABV: 4.06 |IBU: N/A |rating: 3.18,Brauerei KĂĽhbach,Santa Muerte
beer kind: Lager - Mexican |description:  |ABV: 5.09 |IBU: 18 |rating: 3.18,Lidl Deutschland / Germany,El Tequito
beer kind: Lager - Mexican |description:  |ABV: 4.07 |IBU: 15 |rating: 3.12,Landgang Brauerei,Cabron
beer kind: Lager - Mexican |description: Note:The bottle version has 4.5% ABV and the can version has 5.9% ABV.Also known as Caliente CamaroBrewed for Lidl in various places. |ABV: 4.05 |IBU: 18 |rating: 2.86,Lidl Deutschland / Germany,Argus Camaro
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.02 |IBU: N/A |rating: 3.83,Brauerei Michael Plank,Oids Dunkles
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.04 |IBU: N/A |rating: 3.81,Freigeist Bierkultur,Dunkel
beer kind: Lager - Munich Dunkel |description: A Keller-Dunkel brewed exclusively for the Andechser BrĂ¤ustĂĽberl. |ABV: 4.09 |IBU: N/A |rating: 3.76,Klosterbrauerei Andechs,Andechser Winterbier
"beer kind: Lager - Munich Dunkel |description: Sud des Monats Oktober 2020 und Juli 2021Dieser Sud ist ein herbstlich braun eingebrautes untergaĚriges Spezialbier mit 12,4 Grad Plato. FuĚr die Hopfengabe haben wir Hallertauer Tradition verwendet und das fertige Grundbier anschlieĂźend mit Mosaic Hopfen kalt nachgestopft. WaĚhrend unser klassisches Spezialbier seine malzige Fruchtigkeit aus der Gerste holt, uĚbertraĚgt bei diesem Sud der fruchtig, blumig, erdige Mosaic Hopfen seine Eigenschaften. So gibt er dem Bier eine fruchtige Frische und loĚscht den herbstlichen Durst! |ABV: 5.0 |IBU: 15 |rating: 3.76",Dortmunder Bergmann Brauerei,DBB Spezial Mosaic
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.0 |IBU: N/A |rating: 3.73,Ăśbelhack,Weiglathaler Bier
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.01 |IBU: N/A |rating: 3.73,Private Alpenbrauerei BĂĽrgerbrĂ¤u Bad Reichenhall,Hotel-Gasthof Goldener Greifen Haus Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.0 |IBU: N/A |rating: 3.71,GriesbrĂ¤u zu Murnau,Werdenfelser Ur-Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.0 |IBU: N/A |rating: 3.71,Schankwirtschaft Wohlfart,Hofbier
beer kind: Lager - Munich Dunkel |description:  |ABV: 4.09 |IBU: N/A |rating: 3.71,Brauerei & Gasthof Reblitz,Dunkles Landbier
"beer kind: Lager - Munich Dunkel |description: Ein mildes bernsteinfarbenes, leicht malignes Vollbier.  |ABV: 4.05 |IBU: N/A |rating: 3.71",Wirtshaus Wolpertinger Garmisch,Wolpertinger Bernsteinbier - Dunkel
"beer kind: Lager - Munich Dunkel |description: Up until the Second World War, dark beer was the predominant beer type in the Munich area. The hard water found in the region played a special role in producing this specialty. In his book â€śBeer Internationalâ€ť, the world-renowned English beer writer, Michael Jackson, accurately describes the Ayinger â€śAltbairisch Dunkelâ€ť as: â€śA good example of its kind. Impenetrably dark with a golden-brown gleam when held up to the light, and with a warm aroma and malty taste, while summoning up coffee taste sensations on going down. It is brewed from five types of malt (two of which are torrified dark), and it is only lightly hopped.â€ť It is produced using the traditional double fermentation process. |ABV: 5.0 |IBU: 21 |rating: 3.71",Ayinger Privatbrauerei,Altbairisch Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.0 |IBU: 20 |rating: 3.07,Hacker-Pschorr,MĂĽnchner Dunkel / Munich Dark
"beer kind: Lager - Munich Dunkel |description: Dark beer existed in Bavaria long before light beer. This was the first type of beer to be brewed at HofbrĂ¤uhaus when it was founded. Today, when beer-lovers all over the world talk about dark beer, they usually mean a Munich style beer. Today, HofbrĂ¤u Dunkel - the archetypal Bavarian beer - is still as popular as ever. With its alcoholic content of around 5.5% volume and its spicy taste, itâ€™s a refreshing beer that suits all kinds of occasions. A beer in the traditional Munich style! |ABV: 5.05 |IBU: 23 |rating: 3.07",Staatliches HofbrĂ¤uhaus MĂĽnchen,Dunkel / Dunkel Gold
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.03 |IBU: N/A |rating: 3.69,Brauerei Berger,Vollbier Dunkel
beer kind: Lager - Munich Dunkel |description: A dark German lager. |ABV: 4.8 |IBU: N/A |rating: 3.69,Hackethals,Lager
"beer kind: Lager - Munich Dunkel |description: Das originale Dunkle vom Wirtshaus in der Au  mit 12,6 % StammwĂĽrze und Alc. 5,5 % Vol.  NatĂĽrlich mit besten Rohstoffen nach dem Reinheitsgebot von 1516 vom Auer BrĂ¤u Rosenheim gebraut â€“ einfach WUNDERBAR! |ABV: 5.05 |IBU: N/A |rating: 3.69",Wirtshaus In Der Au,Auer Kraft Bier
"beer kind: Lager - Munich Dunkel |description: Appearance: A warm dark amber hue with a thick creamy foam speaking to its heritage as a traditional franconian dark country beer.Taste: A refined subtle strength with dynamic malt flavors that highlight the distinguished hop notes, an overall malty-sweet Bavarian brew that is balanced and inviting. Aaroma: A lively combination of fruit-forward malt, roasted grains and subtle yeast notes that are complemented by the herbal elegance of Tettnanger hops. |ABV: 5.0 |IBU: N/A |rating: 3.68",Brauerei Rittmayer Hallerndorf,Georg Rittmayer Hausbrauerbier
beer kind: Lager - Munich Dunkel |description:  |ABV: 4.09 |IBU: 20 |rating: 3.68,BrewsLi - Der Biermacher,MĂĽnchner Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.02 |IBU: N/A |rating: 3.67,Gasthofbrauerei Will,Schederndorfer Dunkles Landbier
beer kind: Lager - Munich Dunkel |description: Dark beer only available during the time of Lent. |ABV: 4.09 |IBU: N/A |rating: 3.67,Freudenecker Fischer-BrĂ¤u,Hahnerla
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.0 |IBU: 24 |rating: 3.67,Klosterbrauerei Ettal,Ettaler Kloster Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 4.09 |IBU: N/A |rating: 3.66,Wanke BrĂ¤u,Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.0 |IBU: N/A |rating: 3.66,Brau-GaststĂ¤tte Mainlust,Mainlust Dunkles MĂ¤rzen/Fassbier
beer kind: Lager - Munich Dunkel |description:  |ABV: 4.8 |IBU: N/A |rating: 3.66,Kulturbrauerei Heidelberg,Scheffel's Dunkel Lager
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.02 |IBU: 24 |rating: 3.66,Brauerei Michael Plank,Export Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.02 |IBU: 20 |rating: 3.66,Hofbrauhaus Freising,Dunkel
"beer kind: Lager - Munich Dunkel |description: Ein vollmundiges Bier, dessen Aroma vom MĂĽnchener Malz getragen wird. Spritzig im Antrunk, folgen Caramell bis RĂ¶staromen. Leicht sĂĽĂźlich in der Mitte, beenden zarte Hopfennoten den runden Gesamteindruck.(November bis Januar) |ABV: 5.03 |IBU: N/A |rating: 3.66",Alt-Oberurseler Brauhaus,Brauhaus Dunkel
"beer kind: Lager - Munich Dunkel |description: This dark mahogany lager is made in the traditional Bavarian style with malt forwardness and low bitterness. Dark but translucent, this full bodied beer pours with a thick and creamy, off-white head. No GĂ¶ller beer has won more awards than the Dunkel. The earliest Dunkel was first brewed by the Benedictine monks who established the settlement of Munich in the middle of the 12th century. The Reinheitgebot (Purity Laws) caused the style to develop to what it is today: clean and smooth. |ABV: 5.02 |IBU: 34 |rating: 3.66",Brauerei GĂ¶ller,Dunkel
"beer kind: Lager - Munich Dunkel |description: An exceptionally smooth, dark, German Pilsener. Thanks to only the best ingredients this dark refreshes like a true lager beer. It has a rich smooth taste and a lingering slightly sweet aftertaste. The delicate aroma and extraordinary coloration result from a careful barley malt roasting process. |ABV: 4.08 |IBU: 28 |rating: 3.66",Warsteiner,Dunkel
"beer kind: Lager - Munich Dunkel |description: Take care, this one is NOT the Sonderklasse Leipzig Dunkler Bock!!! |ABV: 4.02 |IBU: N/A |rating: 3.66",Privatbrauerei Eibau,Sonderklasse Leipzig - Dunkel
"beer kind: Lager - Munich Dunkel |description: Gebraut im Kommunbrauhaus des FrĂ¤nkischen Freilandmuseums in Bad Windsheim. Vergoren, gereift und abgefĂĽllt im Brauhaus DĂ¶bler Bad Windsheim. |ABV: 5.04 |IBU: N/A |rating: 3.66",Brauhaus DĂ¶bler,Freilandmuseum Dunkel
"beer kind: Lager - Munich Dunkel |description: Strong dark brown with a delicate caramel flavor. Soft to drink with pleasant proud dark ale character, wonderfully full-bodied. Our Dark is brewed according to an old tradition from over 400 years. A beer from the good old times. |ABV: 5.0 |IBU: N/A |rating: 3.66",HofbrĂ¤uhaus Traunstein,Dunkel
beer kind: Lager - Munich Dunkel |description: Changed name from MĂĽnchner Naturquell Dunkel |ABV: 5.04 |IBU: N/A |rating: 3.65,Forschungsbrauerei,Exportbier Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 4.8 |IBU: N/A |rating: 3.65,AllgĂ¤uer Brauhaus,Alt Kemptener Urbayerisch Dunkel
beer kind: Lager - Munich Dunkel |description: Bleibe stets dem Wahlspruch treu. Trink ein Seidel Kathi BrĂ¤u.  |ABV: 4.08 |IBU: N/A |rating: 3.65,Kathi-BrĂ¤u,Dunkles Lagerbier
beer kind: Lager - Munich Dunkel |description:  |ABV: 5.02 |IBU: N/A |rating: 3.65,Schlossbrauhaus Schwangau,Dunkel
beer kind: Lager - Munich Dunkel |description:  |ABV: 4.08 |IBU: N/A |rating: 3.64,Brauerei Stangl Klingenbrunn,Panduren Dunkel
