nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text
1,3893076,MadX,Fantastic Yeasts And Where To Find Them Purple Basil,Sour - Other,https://untappd.com/b/madx-fantastic-yeasts-and-where-to-find-them-purple-basil/3893076,6.4,N/A,3.89,468,07/28/20,Barrel Aged Golden Sour Ale with Purple Basil 
2,2890837,Reczer Ser,Collabrew Series #8 - Easy Peasy Apricot Squeezy,Sour - Other,https://untappd.com/b/reczer-ser-collabrew-series-8-easy-peasy-apricot-squeezy/2890837,5.8,27,3.88,208,10/13/18,"Miután Boti megszerezte az országban fellelhető összes kajszibarackot - nehéz dolga volt az idei fagykárok után - felhívott, hogy figyelj haver, van itt közel 200 kiló friss, lédús, napérlelte kajszibarack Göncről, itt az ideje egy közös főzésnek. Mielőtt a pálinka- és lekvárfőző brigádok ellátták volna a bajunkat a terményért, villámgyorsan, vállat vonva, sejtelmes mosollyal az arcunkon belelapátoltuk az összeset egy ínyenc Sour Ale-be. Épp a szemed előtt pompázik a végeredmény, zavarba ejtően zamatos nektár lett belőle. Apricot talks! "
3,4213681,MadX,Ascension,Sour - Other,https://untappd.com/b/madx-ascension/4213681,6.0,N/A,3.88,240,03/10/21,Dry Hopped Barrel Aged Golden Ale Blend 
4,3905845,MadX,Fantastic Yeasts And Where To Find Them Elderflower,Sour - Other,https://untappd.com/b/madx-fantastic-yeasts-and-where-to-find-them-elderflower/3905845,6.4,N/A,3.87,313,08/06/20,Barrel Aged Golden Sour Ale with Elderflower 
5,3863998,MadX,Needles And Pins,Sour - Other,https://untappd.com/b/madx-needles-and-pins/3863998,6.7,N/A,3.83,519,07/09/20,Barrel Aged Raw Golden Sour Beer with Spruce Tips and Juniper Berries brewed together with our friends at CoolHead Brew from Finland 
6,4783431,MadX,Fantastic Yeasts And Where To Find Them Purple Basil 2021,Sour - Other,https://untappd.com/b/madx-fantastic-yeasts-and-where-to-find-them-purple-basil-2021/4783431,5.9,N/A,3.81,230,04/04/22,"The 2021 version of our Barrel Aged Golden Sour Ale with Purple Basil, released in the April of 2022 "
7,5180287,MadX,Fantastic Yeasts And Where To Find Them Elderflower 2022,Sour - Other,https://untappd.com/b/madx-fantastic-yeasts-and-where-to-find-them-elderflower-2022/5180287,6.0,N/A,3.81,165,12/29/22,The 2022 version of our Barrel Aged Golden Sour Ale with Elderflower 
8,4990365,B*BOP FERMENTORY,BAGIRAH,Sour - Other,https://untappd.com/b/b-bop-fermentory-bagirah/4990365,4.5,N/A,3.81,335,08/23/22,"Citromail Gang Nu Sour.A gin fizz inspired refreshing and drinkable Nu Sour Ale fermented with Sicilian lemons, key lime purée, a blend of well selected gin botanicals: juniper berries, Norwegian angelica roots, coriander seeds, ginger, rosemary and Pakistani diamond salt.Brewed to celebrate Beton.Hofi’s new album Playbánia. "
9,4745715,B*BOP FERMENTORY,TWISTED HIGHNESS,Sour - Other,https://untappd.com/b/b-bop-fermentory-twisted-highness/4745715,8.5,N/A,3.81,338,03/09/22,"A Singapore Sling cocktail inspired smooth, tart and delicate Imperial Nu Sour Ale fermented with amounts of Morello cherries, Palo Santo wood, fresh sage, a light blend of gin botanicals and Korean juk-yom bamboo salt. Made specially for LEO Rooftop Bar & LEO Bistro. "
10,4093901,MadX,Fantastic Yeasts And Where To Find Them Porcini,Sour - Other,https://untappd.com/b/madx-fantastic-yeasts-and-where-to-find-them-porcini/4093901,7.0,N/A,3.79,195,12/11/20,Barrel Aged Golden Sour Ale with Porcini MushroomsThe 3rd release of our 'Fantastic Yeasts And Where To Find Them' series 
